1Zcexgo_Btwt880d3187|تو اپیزود اول از خلاصه کتاب خودآموز دیکتاتورها|تو اپیزود اول از خلاصه کتاب خودآموز دیکتاتورها
1Zcexgo_Btwt4067d4781|گفتیم که نویسندگان این کتاب اومدن داستان به قدرت رسیدن|گفتیم که نویسندگان این کتاب اومدن داستان به قدرت رسیدن
1Zcexgo_Btwt8848d4159|و نحوه حکومت دیکتاتورها رو دقیق و با جزئیات بررسی کردن|و نحوه حکومت دیکتاتورها رو دقیق و با جزئیات بررسی کردن
1Zcexgo_Btwt13007d4622|فصل مشترک زندگی و حکومت دیکتاتورها رو دراودن|فصل مشترک زندگی و حکومت دیکتاتورها رو دراودن
1Zcexgo_Btwt17629d5762|و با زبان طنز اومدن کتاب رو برای کسانی که دوست دارن دیکتاتور بشن نوشتن|و با زبان طنز اومدن کتاب رو برای کسانی که دوست دارن دیکتاتور بشن نوشتن
1Zcexgo_Btwt23391d2014|هرکی دوست داره دیکتاتور بشه|هرکی دوست داره دیکتاتور بشه
1Zcexgo_Btwt25405d2851|میتونه از تجربیات دیکتاتورهای دیگه|میتونه از تجربیات دیکتاتورهای دیگه
1Zcexgo_Btwt28256d2762|که تو این کتاب جمع آوری شده استفاده کنه|که تو این کتاب جمع آوری شده استفاده کنه
1Zcexgo_Btwt31018d5196|تو اپیزود قبل درباره نحوه به قدرت رسیدن دیکتاتورها صحبت کردیم|تو اپیزود قبل درباره نحوه به قدرت رسیدن دیکتاتورها صحبت کردیم
1Zcexgo_Btwt36214d6788|و بعد از کیش شخصیت بی همتایی که دیکتاتورها دوست دارن از خودشون بسازن گفتیم|و بعد از کیش شخصیت بی همتایی که دیکتاتورها دوست دارن از خودشون بسازن گفتیم
1Zcexgo_Btwt43002d3612|و بعد رسیدیم به نحوه حکومت و اداره کشور|و بعد رسیدیم به نحوه حکومت و اداره کشور
1Zcexgo_Btwt46614d4781|گفتیم که چطور با ایجاد فرهنگ ترس میشه بر مردم حکومت کرد|گفتیم که چطور با ایجاد فرهنگ ترس میشه بر مردم حکومت کرد
1Zcexgo_Btwt51395d5726|و همچنین بررسی کردیم که یک دیکتاتور در مواجه به احزاب مختلف|و همچنین بررسی کردیم که یک دیکتاتور در مواجه به احزاب مختلف
1Zcexgo_Btwt57121d4570|و نیروهای نظامی و امنیتی چه سیاستی باید داشته|و نیروهای نظامی و امنیتی چه سیاستی باید داشته
1Zcexgo_Btwt61691d6845|خلاصه که تو اپیزود قبل شما یاد گرفتید که به عنوان یک دیکتاتور چطور باید به قدرت برسید|خلاصه که تو اپیزود قبل شما یاد گرفتید که به عنوان یک دیکتاتور چطور باید به قدرت برسید
1Zcexgo_Btwt68536d2479|و چطور باید حکومت کنید|و چطور باید حکومت کنید
1Zcexgo_Btwt71015d6552|تو این اپیزود هم قراره یاد بگیرید که برای بقای حکومت دیکتاتوری تون باید چه کارهایی انجام بدید|تو این اپیزود هم قراره یاد بگیرید که برای بقای حکومت دیکتاتوری تون باید چه کارهایی انجام بدید
